PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32121267","Serotonin in Animal Cognition and Behavior","Bacqué-Cazenave J, Bharatiya R, Barrière G, Delbecque JP, Bouguiyoud N, Di Giovanni G, Cattaert D, De Deurwaerdère P.","Int J Mol Sci. 2020 Feb 28;21(5):1649. doi: 10.3390/ijms21051649.","Bacqué-Cazenave J","Int J Mol Sci","2020","2020/03/04","PMC7084567","","10.3390/ijms21051649"
"29997061","The cerebellum and cognition","Schmahmann JD.","Neurosci Lett. 2019 Jan 1;688:62-75. doi: 10.1016/j.neulet.2018.07.005. Epub 2018 Jul 8.","Schmahmann JD","Neurosci Lett","2019","2018/07/13","","","10.1016/j.neulet.2018.07.005"
"32540024","The effects of social deprivation on adolescent development and mental health","Orben A, Tomova L, Blakemore SJ.","Lancet Child Adolesc Health. 2020 Aug;4(8):634-640. doi: 10.1016/S2352-4642(20)30186-3. Epub 2020 Jun 12.","Orben A","Lancet Child Adolesc Health","2020","2020/06/17","PMC7292584","","10.1016/S2352-4642(20)30186-3"
"30664773","Astrocyte function from information processing to cognition and cognitive impairment","Santello M, Toni N, Volterra A.","Nat Neurosci. 2019 Feb;22(2):154-166. doi: 10.1038/s41593-018-0325-8. Epub 2019 Jan 21.","Santello M","Nat Neurosci","2019","2019/01/22","","","10.1038/s41593-018-0325-8"
"30324233","Aphasia Recovery: When, How and Who to Treat?","Doogan C, Dignam J, Copland D, Leff A.","Curr Neurol Neurosci Rep. 2018 Oct 15;18(12):90. doi: 10.1007/s11910-018-0891-x.","Doogan C","Curr Neurol Neurosci Rep","2018","2018/10/17","PMC6209017","","10.1007/s11910-018-0891-x"
"28812266","Oxytocin and Social Relationships: From Attachment to Bond Disruption","Bosch OJ, Young LJ.","Curr Top Behav Neurosci. 2018;35:97-117. doi: 10.1007/7854_2017_10.","Bosch OJ","Curr Top Behav Neurosci","2018","2017/08/17","PMC5815947","NIHMS939341","10.1007/7854_2017_10"
"28729065","Neural Circuits for Social Cognition: Implications for Autism","Fernández M, Mollinedo-Gajate I, Peñagarikano O.","Neuroscience. 2018 Feb 1;370:148-162. doi: 10.1016/j.neuroscience.2017.07.013. Epub 2017 Jul 17.","Fernández M","Neuroscience","2018","2017/07/22","","","10.1016/j.neuroscience.2017.07.013"
"28992230","Social Cognition and the Neurobiology of Rodent Mate Choice","Kavaliers M, Choleris E.","Integr Comp Biol. 2017 Oct 1;57(4):846-856. doi: 10.1093/icb/icx042.","Kavaliers M","Integr Comp Biol","2017","2017/10/10","","","10.1093/icb/icx042"
"31256001","The translational neural circuitry of anxiety","Robinson OJ, Pike AC, Cornwell B, Grillon C.","J Neurol Neurosurg Psychiatry. 2019 Dec;90(12):1353-1360. doi: 10.1136/jnnp-2019-321400. Epub 2019 Jun 29.","Robinson OJ","J Neurol Neurosurg Psychiatry","2019","2019/07/01","","","10.1136/jnnp-2019-321400"
"33074266","The cognitive consequences of the COVID-19 epidemic: collateral damage?","Ritchie K, Chan D, Watermeyer T.","Brain Commun. 2020 May 28;2(2):fcaa069. doi: 10.1093/braincomms/fcaa069. eCollection 2020.","Ritchie K","Brain Commun","2020","2020/10/19","PMC7314157","","10.1093/braincomms/fcaa069"
"32233912","Brain Lateralization: A Comparative Perspective","Güntürkün O, Ströckens F, Ocklenburg S.","Physiol Rev. 2020 Jul 1;100(3):1019-1063. doi: 10.1152/physrev.00006.2019.","Güntürkün O","Physiol Rev","2020","2020/04/03","","","10.1152/physrev.00006.2019"
"31557539","Age-related hearing loss and tinnitus, dementia risk, and auditory amplification outcomes","Jafari Z, Kolb BE, Mohajerani MH.","Ageing Res Rev. 2019 Dec;56:100963. doi: 10.1016/j.arr.2019.100963. Epub 2019 Sep 23.","Jafari Z","Ageing Res Rev","2019","2019/09/27","","","10.1016/j.arr.2019.100963"
"28793975","Infant Gut Microbiome Associated With Cognitive Development","Carlson AL, Xia K, Azcarate-Peril MA, Goldman BD, Ahn M, Styner MA, Thompson AL, Geng X, Gilmore JH, Knickmeyer RC.","Biol Psychiatry. 2018 Jan 15;83(2):148-159. doi: 10.1016/j.biopsych.2017.06.021. Epub 2017 Jun 27.","Carlson AL","Biol Psychiatry","2018","2017/08/11","PMC5724966","NIHMS888185","10.1016/j.biopsych.2017.06.021"
"30887654","Maternal social environment affects offspring cognition through behavioural and immune pathways in rats","Pittet F, Van Caenegem N, Hicks-Nelson AR, Santos HP Jr, Bradburn S, Murgatroyd C, Nephew BC.","J Neuroendocrinol. 2019 Sep;31(9):e12711. doi: 10.1111/jne.12711. Epub 2019 Apr 10.","Pittet F","J Neuroendocrinol","2019","2019/03/20","","","10.1111/jne.12711"
"28963120","Chronic cerebral hypoperfusion: a key mechanism leading to vascular cognitive impairment and dementia. Closing the translational gap between rodent models and human vascular cognitive impairment and dementia","Duncombe J, Kitamura A, Hase Y, Ihara M, Kalaria RN, Horsburgh K.","Clin Sci (Lond). 2017 Sep 28;131(19):2451-2468. doi: 10.1042/CS20160727. Print 2017 Oct 1.","Duncombe J","Clin Sci (Lond)","2017","2017/10/01","","","10.1042/CS20160727"
"27316551","Impact of anxiety on prefrontal cortex encoding of cognitive flexibility","Park J, Moghaddam B.","Neuroscience. 2017 Mar 14;345:193-202. doi: 10.1016/j.neuroscience.2016.06.013. Epub 2016 Jun 15.","Park J","Neuroscience","2017","2016/06/19","PMC5159328","NIHMS798596","10.1016/j.neuroscience.2016.06.013"
"31732015","Brain reserve, cognitive reserve, compensation, and maintenance: operationalization, validity, and mechanisms of cognitive resilience","Stern Y, Barnes CA, Grady C, Jones RN, Raz N.","Neurobiol Aging. 2019 Nov;83:124-129. doi: 10.1016/j.neurobiolaging.2019.03.022.","Stern Y","Neurobiol Aging","2019","2019/11/17","PMC6859943","NIHMS1530897","10.1016/j.neurobiolaging.2019.03.022"
"28859999","Socially dominant mice in C57BL6 background show increased social motivation","Kunkel T, Wang H.","Behav Brain Res. 2018 Jan 15;336:173-176. doi: 10.1016/j.bbr.2017.08.038. Epub 2017 Aug 30.","Kunkel T","Behav Brain Res","2018","2017/09/02","PMC5610949","NIHMS905398","10.1016/j.bbr.2017.08.038"
"27244235","Ibogaine and addiction in the animal model, a systematic review and meta-analysis","Belgers M, Leenaars M, Homberg JR, Ritskes-Hoitinga M, Schellekens AF, Hooijmans CR.","Transl Psychiatry. 2016 May 31;6(5):e826. doi: 10.1038/tp.2016.71.","Belgers M","Transl Psychiatry","2016","2016/06/01","PMC5545647","","10.1038/tp.2016.71"
