PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33090847","Comparative cognition and cognitive ecology in the classroom","Lamontagne SJ, Kuhlmeier VA, Olmstead MC.","Can J Exp Psychol. 2020 Sep;74(3):176-182. doi: 10.1037/cep0000213.","Lamontagne SJ","Can J Exp Psychol","2020","2020/10/22","","","10.1037/cep0000213"
"32662725","Place and Environment in the Ongoing Evolution of Cognitive Neuroscience","Irwin LN, Irwin BA.","J Cogn Neurosci. 2020 Oct;32(10):1837-1850. doi: 10.1162/jocn_a_01607. Epub 2020 Jul 14.","Irwin LN","J Cogn Neurosci","2020","2020/07/15","","","10.1162/jocn_a_01607"
"32461136","Nutrition and the ageing brain: Moving towards clinical applications","Flanagan E, Lamport D, Brennan L, Burnet P, Calabrese V, Cunnane SC, de Wilde MC, Dye L, Farrimond JA, Emerson Lombardo N, Hartmann T, Hartung T, Kalliomäki M, Kuhnle GG, La Fata G, Sala-Vila A, Samieri C, Smith AD, Spencer JPE, Thuret S, Tuohy K, Turroni S, Vanden Berghe W, Verkuijl M, Verzijden K, Yannakoulia M, Geurts L, Vauzour D.","Ageing Res Rev. 2020 Sep;62:101079. doi: 10.1016/j.arr.2020.101079. Epub 2020 May 24.","Flanagan E","Ageing Res Rev","2020","2020/05/29","","","10.1016/j.arr.2020.101079"
"26799652","Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition)","Klionsky DJ, Abdelmohsen K, Abe A, Abedin MJ, Abeliovich H, Acevedo Arozena A, Adachi H, Adams CM, Adams PD, Adeli K, Adhihetty PJ, Adler SG, Agam G, Agarwal R, Aghi MK, Agnello M, Agostinis P, Aguilar PV, Aguirre-Ghiso J, Airoldi EM, Ait-Si-Ali S, Akematsu T, Akporiaye ET, Al-Rubeai M, Albaiceta GM, Albanese C, Albani D, Albert ML, Aldudo J, Algül H, Alirezaei M, Alloza I, Almasan A, Almonte-Beceril M, Alnemri ES, Alonso C, Altan-Bonnet N, Altieri DC, Alvarez S, Alvarez-Erviti L, Alves S, Amadoro G, Amano A, Amantini C, Ambrosio S, Amelio I, Amer AO, Amessou M, Amon A, An Z, Anania FA, Andersen SU, Andley UP, Andreadi CK, Andrieu-Abadie N, Anel A, Ann DK, Anoopkumar-Dukie S, Antonioli M, Aoki H, Apostolova N, Aquila S, Aquilano K, Araki K, Arama E, Aranda A, Araya J, Arcaro A, Arias E, Arimoto H, Ariosa AR, Armstrong JL, Arnould T, Arsov I, Asanuma K, Askanas V, Asselin E, Atarashi R, Atherton SS, Atkin JD, Attardi LD, Auberger P, Auburger G, Aurelian L, Autelli R, Avagliano L, Avantaggiati ML, Avrahami L, Awale S, Azad N, Bachetti T, Backer JM, Bae DH, Bae JS, Bae ON, Bae SH, Baehrecke EH, Baek SH, Baghdiguian S, Bagniewska-Zadworna A, et al.","Autophagy. 2016;12(1):1-222. doi: 10.1080/15548627.2015.1100356.","Klionsky DJ","Autophagy","2016","2016/01/23","PMC4835977","","10.1080/15548627.2015.1100356"
"32383208","The role of the microbiome in the neurobiology of social behaviour","Sarkar A, Harty S, Johnson KV, Moeller AH, Carmody RN, Lehto SM, Erdman SE, Dunbar RIM, Burnet PWJ.","Biol Rev Camb Philos Soc. 2020 Oct;95(5):1131-1166. doi: 10.1111/brv.12603. Epub 2020 May 7.","Sarkar A","Biol Rev Camb Philos Soc","2020","2020/05/09","","","10.1111/brv.12603"
"31544620","The neuroscience of vision and pain: evolution of two disciplines","Finlay BL.","Philos Trans R Soc Lond B Biol Sci. 2019 Nov 11;374(1785):20190292. doi: 10.1098/rstb.2019.0292. Epub 2019 Sep 23.","Finlay BL","Philos Trans R Soc Lond B Biol Sci","2019","2019/09/24","PMC6790377","","10.1098/rstb.2019.0292"
"30232162","Social tipping points in animal societies","Pruitt JN, Berdahl A, Riehl C, Pinter-Wollman N, Moeller HV, Pringle EG, Aplin LM, Robinson EJH, Grilli J, Yeh P, Savage VM, Price MH, Garland J, Gilby IC, Crofoot MC, Doering GN, Hobson EA.","Proc Biol Sci. 2018 Sep 19;285(1887):20181282. doi: 10.1098/rspb.2018.1282.","Pruitt JN","Proc Biol Sci","2018","2018/09/21","PMC6170811","","10.1098/rspb.2018.1282"
"31175907","A place for emotions in behavior systems research","Burghardt GM.","Behav Processes. 2019 Sep;166:103881. doi: 10.1016/j.beproc.2019.06.004. Epub 2019 Jun 5.","Burghardt GM","Behav Processes","2019","2019/06/09","","","10.1016/j.beproc.2019.06.004"
"31160560","The reach of gene-culture coevolution in animals","Whitehead H, Laland KN, Rendell L, Thorogood R, Whiten A.","Nat Commun. 2019 Jun 3;10(1):2405. doi: 10.1038/s41467-019-10293-y.","Whitehead H","Nat Commun","2019","2019/06/05","PMC6546714","","10.1038/s41467-019-10293-y"
"29759889","Social Learning Strategies: Bridge-Building between Fields","Kendal RL, Boogert NJ, Rendell L, Laland KN, Webster M, Jones PL.","Trends Cogn Sci. 2018 Jul;22(7):651-665. doi: 10.1016/j.tics.2018.04.003. Epub 2018 May 11.","Kendal RL","Trends Cogn Sci","2018","2018/05/16","","","10.1016/j.tics.2018.04.003"
"28533456","Colour, vision and coevolution in avian brood parasitism","Stoddard MC, Hauber ME.","Philos Trans R Soc Lond B Biol Sci. 2017 Jul 5;372(1724):20160339. doi: 10.1098/rstb.2016.0339.","Stoddard MC","Philos Trans R Soc Lond B Biol Sci","2017","2017/05/24","PMC5444060","","10.1098/rstb.2016.0339"
"27461916","The perception of self in birds","Derégnaucourt S, Bovet D.","Neurosci Biobehav Rev. 2016 Oct;69:1-14. doi: 10.1016/j.neubiorev.2016.06.039. Epub 2016 Jul 25.","Derégnaucourt S","Neurosci Biobehav Rev","2016","2016/07/28","","","10.1016/j.neubiorev.2016.06.039"
"31557550","A comparative approach to affect and cooperation","Massen JJM, Behrens F, Martin JS, Stocker M, Brosnan SF.","Neurosci Biobehav Rev. 2019 Dec;107:370-387. doi: 10.1016/j.neubiorev.2019.09.027. Epub 2019 Sep 23.","Massen JJM","Neurosci Biobehav Rev","2019","2019/09/27","","","10.1016/j.neubiorev.2019.09.027"
