PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32540024","The effects of social deprivation on adolescent development and mental health","Orben A, Tomova L, Blakemore SJ.","Lancet Child Adolesc Health. 2020 Aug;4(8):634-640. doi: 10.1016/S2352-4642(20)30186-3. Epub 2020 Jun 12.","Orben A","Lancet Child Adolesc Health","2020","2020/06/17","PMC7292584","","10.1016/S2352-4642(20)30186-3"
"29907531","The Microbiome in Psychology and Cognitive Neuroscience","Sarkar A, Harty S, Lehto SM, Moeller AH, Dinan TG, Dunbar RIM, Cryan JF, Burnet PWJ.","Trends Cogn Sci. 2018 Jul;22(7):611-636. doi: 10.1016/j.tics.2018.04.006. Epub 2018 Jun 12.","Sarkar A","Trends Cogn Sci","2018","2018/06/17","","","10.1016/j.tics.2018.04.006"
"29997061","The cerebellum and cognition","Schmahmann JD.","Neurosci Lett. 2019 Jan 1;688:62-75. doi: 10.1016/j.neulet.2018.07.005. Epub 2018 Jul 8.","Schmahmann JD","Neurosci Lett","2019","2018/07/13","","","10.1016/j.neulet.2018.07.005"
"28957676","The Neuroscience of Socioeconomic Status: Correlates, Causes, and Consequences","Farah MJ.","Neuron. 2017 Sep 27;96(1):56-71. doi: 10.1016/j.neuron.2017.08.034.","Farah MJ","Neuron","2017","2017/09/29","","","10.1016/j.neuron.2017.08.034"
"27647325","'Emotional Intelligence': Lessons from Lesions","Hogeveen J, Salvi C, Grafman J.","Trends Neurosci. 2016 Oct;39(10):694-705. doi: 10.1016/j.tins.2016.08.007. Epub 2016 Sep 17.","Hogeveen J","Trends Neurosci","2016","2016/09/21","PMC5807001","NIHMS937222","10.1016/j.tins.2016.08.007"
"27609244","Using Neuroscience to Help Understand Fear and Anxiety: A Two-System Framework","LeDoux JE, Pine DS.","Am J Psychiatry. 2016 Nov 1;173(11):1083-1093. doi: 10.1176/appi.ajp.2016.16030353. Epub 2016 Sep 9.","LeDoux JE","Am J Psychiatry","2016","2016/09/10","","","10.1176/appi.ajp.2016.16030353"
"29628441","The Original Social Network: White Matter and Social Cognition","Wang Y, Olson IR.","Trends Cogn Sci. 2018 Jun;22(6):504-516. doi: 10.1016/j.tics.2018.03.005. Epub 2018 Apr 5.","Wang Y","Trends Cogn Sci","2018","2018/04/10","PMC5960431","NIHMS957924","10.1016/j.tics.2018.03.005"
"30127428","Cognitive computational neuroscience","Kriegeskorte N, Douglas PK.","Nat Neurosci. 2018 Sep;21(9):1148-1160. doi: 10.1038/s41593-018-0210-5. Epub 2018 Aug 20.","Kriegeskorte N","Nat Neurosci","2018","2018/08/22","PMC6706072","NIHMS1046507","10.1038/s41593-018-0210-5"
"28963058","New tools for understanding coping and resilience","Baratta MV, Maier SF.","Neurosci Lett. 2019 Feb 6;693:54-57. doi: 10.1016/j.neulet.2017.09.049. Epub 2017 Sep 27.","Baratta MV","Neurosci Lett","2019","2017/10/01","PMC5871534","NIHMS910436","10.1016/j.neulet.2017.09.049"
"26204817","Bidirectional modulation of anxiety-related and social behaviors by amygdala projections to the medial prefrontal cortex","Felix-Ortiz AC, Burgos-Robles A, Bhagat ND, Leppla CA, Tye KM.","Neuroscience. 2016 May 3;321:197-209. doi: 10.1016/j.neuroscience.2015.07.041. Epub 2015 Jul 21.","Felix-Ortiz AC","Neuroscience","2016","2015/07/25","PMC4721937","NIHMS712859","10.1016/j.neuroscience.2015.07.041"
"30301953","The neural mechanisms and circuitry of the pair bond","Walum H, Young LJ.","Nat Rev Neurosci. 2018 Nov;19(11):643-654. doi: 10.1038/s41583-018-0072-6.","Walum H","Nat Rev Neurosci","2018","2018/10/11","PMC6283620","NIHMS994226","10.1038/s41583-018-0072-6"
